Time,CPM
1631066390.511825,0
1631066450.5618212,3
1631066510.6220813,4
1631066570.631836,3
1631066630.6827009,2
1631066690.7418077,5
1631066750.7764533,2
1631066810.8367097,3
1631066870.8919518,4
1631066930.9519718,5
