Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1637188717.0889614,37.875895,-122.258963333,0.0,33.0
1637188725.5264382,37.875875,-122.258948333,0.0,38.4
1637188735.055827,37.875856667,-122.258953333,0.0,31.0
1637188745.862315,37.87583,-122.259001667,0.0,32.8
1637188754.2450607,37.875833333,-122.259005,0.0,36.0
1637188762.4200094,37.875833333,-122.259005,0.0,31.6
1637188770.658339,37.875843333,-122.259016667,0.0,39.2
1637188779.349588,37.875853333,-122.259036667,0.0,36.6
1637188790.6441815,37.875866667,-122.259055,0.0,38.2
1637188803.890516,37.875878333,-122.259068333,0.0,33.2
1637188815.209824,37.875808333,-122.259065,0.0,35.0
1637188826.560352,37.87569,-122.2591,0.0,33.8
1637188837.0049667,37.875538333,-122.258941667,0.0,26.2
1637188847.303893,37.875363333,-122.258958333,0.0,27.0
1637188856.4781847,37.875311667,-122.259038333,0.0,30.4
1637188866.0680096,37.8753,-122.25915,0.0,29.8
1637188877.2551386,37.875261667,-122.25934,0.0,31.8
1637188885.5834773,37.87525,-122.259495,0.0,31.0
1637188895.9660807,37.875235,-122.259665,0.0,28.0
1637188907.0774043,37.875216667,-122.25985,0.0,27.6
1637188917.794752,37.875173333,-122.259991667,0.0,28.4
1637188926.6785414,37.87516,-122.260075,0.0,27.0
1637188936.0616908,37.875141667,-122.260068333,0.0,28.4
1637188947.493015,37.875055,-122.260115,0.0,38.2
1637188956.7593029,37.874938333,-122.260095,0.0,27.8
1637188966.354382,37.874806667,-122.260131667,0.0,28.8
1637188975.7628875,37.874708333,-122.260118333,0.0,29.2
1637188984.4067986,37.874591667,-122.260088333,0.0,31.2
1637188993.0590417,37.874496667,-122.260108333,0.0,30.6
1637189002.6103144,37.874378333,-122.260085,0.0,30.6
1637189012.884917,37.874248333,-122.260073333,0.0,32.2
1637189024.9040794,37.874121667,-122.260011667,0.0,35.0
1637189035.2191875,37.874053333,-122.259911667,0.0,32.0
1637189045.1986725,37.87402,-122.259808333,0.0,35.0
