Time,Temperature,Pressure,Humidity,PM 1,PM 2.5,PM 10
1631087032.2812436,22.946484375,1004.0970118045393,43.318955901782346,7168,0,256
1631087033.4094386,22.9412109375,1004.1046918732313,43.30050444843558,7168,0,256
1631087034.538351,22.9412109375,1004.1285259820366,43.30665804082853,7168,0,256
1631087035.6653392,22.9412109375,1004.1316459414384,43.374343145661626,7168,0,256
1631087036.7922633,22.9361328125,1004.1666620156592,43.257431323494814,7168,0,256
1631087037.9191365,22.9361328125,1004.11413791567,43.43587653438427,7168,0,256
1631087039.0476627,22.9412109375,1004.1397222438782,43.275889967773644,7168,0,256
1631087040.174576,22.9412109375,1004.0938348115113,43.26972621804711,7168,0,256
1631087041.3018324,22.9361328125,1004.1267751937553,43.40510578270198,7168,0,256
1631087042.7628238,22.9310546875,1004.1456659398854,43.30664623739223,7168,0,256
1631087044.8238573,22.9158203125,1004.1169175635193,43.398932490232966,7168,0,256
1631087046.8799417,22.9107421875,1004.1246113584614,43.47276192160722,7168,0,256
1631087048.941602,22.890234375,1004.1561237979793,43.368156485810125,7168,0,256
1631087050.9972525,22.8953125,1004.1204308753664,43.26970817760719,7168,0,256
1631087053.0559013,22.88515625,1004.134066527603,43.33122974668299,7168,0,256
1631087055.1143873,22.880078125,1004.1319458623686,43.31277493512364,7168,0,256
1631087057.1737623,22.869921875,1004.1568247814596,43.42351347263886,7168,0,256
1631087059.2319312,22.8595703125,1004.1634567898509,43.39890383471223,7168,0,256
1631087061.2907116,22.8595703125,1004.1431395438918,43.460422778089246,7168,0,256
1631087063.3496358,22.8544921875,1004.1634653704267,43.41119141774526,7168,0,256
1631087065.4080567,22.8392578125,1004.1672841430036,43.263531954767906,7168,0,256
1631087067.4666214,22.8341796875,1004.13715344884,43.22662044912984,7168,0,256
1631087069.5255556,22.8341796875,1004.1424049323273,43.26968149250909,7168,0,256
1631087071.584604,22.823828125,1004.1189590689547,43.42348228800429,7168,0,256
1631087073.6463811,22.8291015625,1004.1448445541831,43.4542319501888,7168,0,256
