Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1635386323.8352683,37.875525,-122.25898,4.5,35.8
1635386332.1472347,37.875476667,-122.258976667,4.0,30.0
1635386340.316607,37.875393333,-122.258968333,4.0,30.4
1635386348.8896632,37.875306667,-122.258956667,5.0,35.2
1635386357.4159946,37.875278333,-122.25897,5.0,33.4
1635386365.9456532,37.875255,-122.25907,4.0,29.8
1635386374.549517,0,0,4.0,29.2
1635386382.9780102,0,0,4.0,30.2
1635386391.7347882,0,0,4.0,30.6
1635386400.3254385,37.87525,-122.259435,4.0,30.0
1635386409.127786,37.875241667,-122.25944,4.0,34.0
1635386417.7594502,37.87524,-122.259435,4.0,35.0
1635386426.5730379,37.875238333,-122.259415,4.0,33.0
1635386435.3003366,37.875233333,-122.25942,11.0,29.2
1635386444.2483993,37.875228333,-122.259428333,14.0,36.8
1635386453.1139185,37.875225,-122.259548333,12.0,30.0
1635386462.0228906,37.875211667,-122.259606667,8.0,29.0
1635386471.1194038,37.875188333,-122.259723333,22.0,29.8
1635386480.1418343,37.875193333,-122.259835,24.0,21.6
1635386489.350374,37.87519,-122.259951667,12.0,28.4
1635386498.5543427,37.875206667,-122.260051667,8.0,27.8
1635386507.6152203,37.875223333,-122.260063333,18.5,25.2
1635386516.8398907,37.87533,-122.260053333,18.0,30.6
1635386526.1059875,37.87539,-122.260086667,27.0,26.2
1635386535.2351882,37.875475,-122.260135,27.5,30.4
1635386544.7914085,37.875616667,-122.260168333,12.5,31.6
1635386554.219174,37.875706667,-122.260188333,5.0,30.0
1635386563.6723635,37.875795,-122.260223333,4.0,27.8
1635386573.2575505,37.87588,-122.260241667,4.0,31.0
1635386582.7393203,37.875906667,-122.26028,4.0,34.4
1635386592.0934575,37.875951667,-122.260143333,5.5,36.6
1635386601.7012026,37.876036667,-122.260005,7.0,30.2
1635386611.4284723,37.876093333,-122.259901667,5.0,22.6
1635386621.1594853,37.876105,-122.259766667,5.0,24.8
1635386630.8399172,37.876113333,-122.259638333,5.0,29.2
1635386640.7682443,37.876106667,-122.259641667,5.0,30.4
1635386650.5370655,37.8761,-122.259641667,5.0,31.0
1635386660.81232,37.876083333,-122.259648333,6.0,32.2
1635386670.7699893,37.876083333,-122.25965,6.0,28.4
1635386680.7004964,37.876075,-122.259641667,6.0,28.2
1635386690.6592445,37.876076667,-122.259641667,6.0,28.8
1635386700.513206,37.876075,-122.25963,5.0,35.8
1635386710.600007,37.876083333,-122.25953,5.0,29.8
1635386720.5875201,37.876093333,-122.25945,5.0,30.6
1635386730.7652328,37.876068333,-122.259336667,5.0,30.6
1635386741.3349524,37.8761,-122.259216667,5.0,25.0
1635386751.4344263,37.876118333,-122.259123333,11.5,30.8
1635386761.8433475,37.876016667,-122.259101667,12.0,31.6
1635386772.170379,37.875936667,-122.25906,12.0,30.0
1635386782.551798,37.875893333,-122.259043333,8.5,29.0
1635386793.084777,37.87589,-122.259038333,8.0,31.6
1635386803.4700243,37.875896667,-122.259045,7.0,30.0
