Time,CPM
1631065102.399048,2
1631065162.4318495,5
1631065222.4920633,2
1631065282.5523086,2
1631065342.612552,0
1631065402.6727555,4
1631065462.6825845,1
1631065522.7428,0
1631065582.8017957,3
1631065642.86202,2
