Time,Temperature,Pressure,Humidity,PM 1,PM 2.5,PM 10
1631084698.6197407,22.1298828125,1003.7510293898017,44.73685954853749,7168,256,512
1631084699.7471466,22.1349609375,1003.705172745818,45.01317764795178,7168,256,512
1631084700.8744667,22.1298828125,1003.7709401932665,45.406007473019336,7168,256,768
1631084702.0016398,22.1146484375,1003.7681197099835,45.51649631467602,7168,256,768
1631084703.128773,22.1146484375,1003.7226294806936,45.41825532608082,7168,256,768
1631084704.2566593,22.104296875,1003.750239061875,45.387477107302196,7168,256,768
1631084705.3832786,22.094140625,1003.7417465712186,44.87792966909157,7168,1024,1792
1631084706.5098557,22.073828125,1003.7203690206405,44.36831228875556,7168,2048,2816
1631084707.6388998,22.0634765625,1003.746594818342,44.23322288495901,7168,2816,3840
1631084708.76578,22.0431640625,1003.7269329450345,43.77266728165639,7168,3072,3840
1631084709.8929286,22.027734375,1003.7328529775908,44.17172063089209,7168,3328,4096
1631084711.0202527,22.0328125,1003.6835028711903,44.59533216487226,7168,3328,4096
1631084712.1492074,22.027734375,1003.7135881604845,44.81017993831149,7168,3328,4096
1631084713.2764604,22.027734375,1003.7090182069776,45.20300938851337,7168,2816,3584
1631084714.4037743,22.017578125,1003.7282489042468,45.00041380866551,7168,2304,3072
1631084715.5323193,22.0125,1003.7265006586636,45.159993673172345,7168,1536,2048
1631084716.6618643,22.0125,1003.7453318552139,45.141502241684165,7168,1280,1792
1631084717.7892354,21.997265625,1003.7449319333931,45.30717918454172,7168,1280,1792
1631084718.916456,21.9919921875,1003.7610658242214,45.60784735256907,7168,1280,1792
1631084720.043785,21.9818359375,1003.7431469318295,45.03090440754227,7168,1280,1792
1631084721.1714797,21.9767578125,1003.6931247223018,45.26411046575911,7168,1024,1536
1631084722.2988205,21.9716796875,1003.7245911086579,45.319312031113014,7168,1024,1536
1631084723.4260173,21.9615234375,1003.7178713507041,45.19030763585151,7168,1024,1536
1631084724.5539825,21.951171875,1003.7174699734503,45.153462229458434,7168,768,1536
1631084725.6824293,21.941015625,1003.721328978196,44.97547406207335,7168,768,1536
1631084726.809566,21.9359375,1003.7523912971589,44.895648875479196,7168,768,1536
1631084727.9368005,21.92578125,1003.7159530841433,44.772845970180526,7168,256,1280
1631084729.0641987,21.920703125,1003.7183735675393,44.84034964758767,7168,256,1280
1631084730.1918705,21.915625,1003.7078446329665,44.70527662287216,7168,256,1280
1631084731.3203094,21.8900390625,1003.6941297576611,44.65614165283519,7168,256,1024
1631084732.4476385,21.8849609375,1003.7454897999954,44.582441997438245,7168,256,1024
1631084733.5752943,21.864453125,1003.742665477158,44.55787619226252,7168,256,1024
1631084734.703322,21.859375,1003.7227237442646,44.5026281941836,7168,256,1024
1631084735.830725,21.844140625,1003.7125025965812,44.913656007806466,7168,512,1024
1631084736.9579334,21.8287109375,1003.7086011631807,45.74175050184908,7168,512,1024
1631084738.0852542,21.8185546875,1003.7274198735344,46.39796463465474,7168,512,1024
1631084739.2134786,21.8033203125,1003.7245474673477,46.64312597219126,7168,512,1024
1631084740.3407884,21.7982421875,1003.7084108861045,46.66760967292929,7168,512,1024
1631084741.4678144,21.7982421875,1003.7248094248274,46.60007312921286,7168,256,768
1631084742.5957694,21.79296875,1003.7066146655511,46.61846839960781,7168,256,768
1631084743.722967,21.77265625,1003.7328286646126,46.66738863802935,7168,256,768
1631084744.8500638,21.767578125,1003.7226034551405,46.77770758270552,7168,256,768
1631084745.9771264,21.767578125,1003.7481478316695,46.34232646928522,7168,256,768
1631084747.1045654,21.7521484375,1003.7477381788146,45.919129383960765,7168,256,768
1631084748.2323778,21.7521484375,1003.729852943608,45.624692265218435,7168,256,768
1631084749.3596272,21.7369140625,1003.7459388287263,46.53219591401255,7168,256,768
1631084750.4868748,21.7318359375,1003.754676343795,46.61181372041688,7168,256,512
1631084751.6150887,21.7318359375,1003.7322167101927,46.801866462190226,7168,256,512
1631084752.742997,21.7216796875,1003.7066732561118,47.096120726929676,7168,0,512
1631084753.8702796,21.7216796875,1003.6951095641906,47.00412114580564,7168,0,512
1631084754.9976082,21.7166015625,1003.7335530610238,47.15737088504273,7168,0,512
1631084756.1249452,21.711328125,1003.7037933433337,46.83851170602669,7168,0,512
1631084757.2528653,21.70625,1003.7447055737271,46.15181225083738,7168,0,512
1631084758.3800986,21.701171875,1003.7191623050721,46.17625960275794,7168,0,512
1631084759.507603,21.69609375,1003.7285122034075,46.537942470192384,7168,0,512
1631084760.6364822,21.6859375,1003.7396635749475,46.61759508898067,7168,0,512
1631084761.7649145,21.6859375,1003.7361689060457,46.37237303408826,7168,0,512
1631084762.892266,21.6705078125,1003.761965473763,46.45807759938569,7168,0,512
1631084764.0195928,21.680859375,1003.7211102181091,46.15767437720716,7168,0,256
1631084765.146789,21.6755859375,1003.7588842592921,46.45807759938569,7168,0,256
1631084766.2753317,21.6705078125,1003.717559274786,46.5561198384085,7168,0,256
1631084767.4026258,21.6603515625,1003.7077425869002,46.78910349291951,7168,0,256
1631084768.5309594,21.6552734375,1003.7322042738493,47.1383342640938,7168,256,512
1631084769.6584396,21.6552734375,1003.7210538293502,47.34053233914957,7168,512,1024
1631084770.7860577,21.6501953125,1003.7429400204154,46.696886344117274,7168,512,1280
1631084771.932063,21.6501953125,1003.7215588627619,46.75809082455887,7168,512,1280
1631084773.0595453,21.6451171875,1003.7265485374302,47.205550874275325,7168,512,1280
1631084774.18822,21.6400390625,1003.7268004440067,47.08287938091037,7168,512,1280
1631084775.315621,21.6296875,1003.7040280386396,47.09513665365293,7168,1024,1536
